university,file_path,status_or_license
"University of Campania ""Luigi Vanvitelli""",,"download-error:HTTPConnectionPool(host='commons.wikimedia.org', port=80): Max retries exceeded with url: /wiki/Special:FilePath/Logo%20Vanvitelli%20university.svg (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x76a2fd48c050>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
Saint Joseph College Seminary,,"download-error:HTTPConnectionPool(host='commons.wikimedia.org', port=80): Max retries exceeded with url: /wiki/Special:FilePath/Saint%20Joseph%20College%20Seminary%20Logo.png (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x76a2fd5de510>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
Saint Patrick's Seminary and University,,"download-error:HTTPConnectionPool(host='commons.wikimedia.org', port=80): Max retries exceeded with url: /wiki/Special:FilePath/St.%20Patrick%27s%20Seminary%20%26%20University%20Logo.png (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x76a2f6e337d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
Paris-Sorbonne University Abu Dhabi,logos/000529_Paris-Sorbonne University Abu Dhabi_Logo%20of%20Sorbonne%20University.svg,ok
Mohammed V University at Souissi,logos/000526_Mohammed V University at Souissi_Universit%C3%A9%20Mohammed%20V%20de%20Rabat.png,ok
Université Moulay-Ismaïl,logos/000527_Université Moulay-Ismaïl_Logo-umi.png,ok
Senghor University,logos/000531_Senghor University_Universit%C3%A9%20Senghor%201.png,ok
Suor Orsola Benincasa University of Naples,logos/000532_Suor Orsola Benincasa University of Naples_Logo%20Universit%C3%A0%20degli%20Studi%20Suor%20Orsola%20Benincasa.svg,ok
Vita-Salute San Raffaele University,logos/000533_Vita-Salute San Raffaele University_Logo%20UniSR.jpeg,ok
University Adventist Center of São Paulo,logos/000534_University Adventist Center of São Paulo_Logo%20UNASP%202017-2018.png,ok
Mariano Marcos State University,logos/000536_Mariano Marcos State University_1Seal.png,ok
Boulogne-sur-Mer Langues et Cultures,logos/000535_Boulogne-sur-Mer Langues et Cultures_UEBM%202016.png,ok
Université de Hearst,logos/000537_Université de Hearst_Logo%20Universit%C3%A9%20de%20Hearst.svg,ok
University of Mahajanga,logos/000538_University of Mahajanga_Umg.jpg,ok
"St Peter's College, Wexford",,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/7/79/Logo_st_peters.jpg
St. Phillips Seminary,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/5/54/TST_Logo.jpeg
Vidyajyoti College of Theology,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/d7/Delhi%2C_Vidyajyoti_College_of_Theology.JPG
Egypt-Japan University of Science and Technology,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/d7/E-JUST_logo.png
Arab Academy for Science and Technology and Maritime Transport,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/da/AASTMT_Logo.png
American University of Sharjah,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/d7/The_Brandmark_of_The_American_University_of_Sharjah_in_United_Arab_Emirates.jpg
National Technical Institute for the Deaf,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/00/RIT_2018_logo_National_Technical_Institute_for_the_Deaf_hor_k.svg
King Fahd University of Petroleum and Minerals,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/94/KFUPM_seal.png
King Fahd University of Petroleum and Minerals,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/5/5e/KFUPM.svg
Limkokwing University of Creative Technology,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/94/Limkokwing_Large_Banner_Logo.jpg
Texas Tech University Health Sciences Center,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/4/4e/Texas_Tech_University_Health_Sciences_Center_wordmark.svg
Volgograd State University of Architecture and Civil Engineering,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/3a/%D0%93%D0%B5%D1%80%D0%B1_%D0%92%D0%93%D0%90%D0%A1%D0%A3.png
Dagestan State Pedagogical University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/e/e2/Dgpu-logo12.png
Dagestan State University of National Economy,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/6/60/Dgunh-logo.jpg
State University of New York at Oneonta,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/9a/Suny_oneota_textlogo.png
Dnipro State University of Internal Affairs,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/6/6f/DDUVS.jpg
Far Eastern State Transport University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/0d/Festu_logo.svg
Alfred Nobel University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/db/Alfred_Nobel_University_rus.png
Donbas National Academy of Civil Engineering and Architecture,logos/001614_Donbas National Academy of Civil Engineering and Architecture_Donbas%20National%20Academy%20of%20Civil%20Engineering%20and%20Architecture.jpg,ok
Donetsk National Medical University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/90/%D0%93%D0%B5%D1%80%D0%B1_%D0%94%D0%BE%D0%BD%D0%9D%D0%9C%D0%A3.jpg
Donetsk National University of Economics and Trade,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/c/cc/Logo_of_DonNUET.jpg
Yerevan State Institute of Theatre and Cinematography,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/6/6b/YSTIC_logo.jpg
University of North Sumatra,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/7/7a/University_of_north_sumatera_logo.jpg
"National Institute of Grape and Wine ""Magarach""",,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/f/fa/Magarach_logo.jpeg
Kazakh National Medical University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/1/1e/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF_%D0%9A%D0%B0%D0%B7%D0%9D%D0%9C%D0%A3.png
Kyiv National University of Culture and Arts,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/5/5d/%D0%9A%D0%9D%D0%A3%D0%9A%D0%86%D0%9C.svg
Kemerovo State Medical University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/5/59/KemSMU_Logo.svg
"Kyiv National I. K. Karpenko-Kary Theatre, Cinema and Television University",,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/27/Logo_KNUTKT.gif
Classic Private University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/29/Classic_Private_University_logo.png
State University of Malang,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/4/41/Universitas_Negeri_Malang_colorful_font_logo.svg
Komsomolsk-on-Amur state university,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/03/0TCNuSpO1N4.jpg
Lipetsk State Pedagogical University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/7/7a/LSPU%282015%29.png
Pushkin Leningrad State University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/08/The_logo_of_Pushkin_Leningrad_State_University_%282019%29.jpg
Kursk State University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/6/61/KSU_emblema.png
Lipetsk State Technical University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/db/Lgtu_emblema.svg
Lugansk National Agrarian University,,download-error:[Errno 36] File name too long: 'logos/001631_Lugansk National Agrarian University_%D0%93%D0%B5%D1%80%D0%B1%20%D0%9B%D1%83%D0%B3%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE%20%D0%BD%D0%B0%D1%86%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%B0%D0%B3%D1%80%D0%B0%D1%80%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%83%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%D1%83.png'
Nagoya University of Foreign Studies,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/ab/NufsLogo.gif
Lviv State University of Life Safety,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/ad/%D0%9B%D1%8C%D0%B2%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D1%83%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82_%D0%B1%D0%B5%D0%B7%D0%BF%D0%B5%D0%BA%D0%B8_%D0%B6%D0%B8%D1%82%D1%82%D1%94%D0%B4%D1%96%D1%8F%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D1%96.png
Danylo Halytsky Lviv National Medical University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/00/Danylo_Halytsky_Lviv_National_Medical_University.png
International University in Moscow,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/2d/Miuniversity.jpg
Moscow Polytechnic University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/90/LogoMospolytech.jpg
Moscow City University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/a6/Mgpu-01.jpg
Moscow State University of Technology STANKIN,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/2e/Stankin-logo-main-color-ru-rgb%21-01.png
Russian Biotechnological University (BIOTECH),,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/f/f1/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF_%D0%A3%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%D0%B0_%D0%A0%D0%9E%D0%A1%D0%91%D0%98%D0%9E%D0%A2%D0%95%D0%A5%D0%B0.jpg
Moscow State University of Fine Chemical Technologies,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/3d/Mitht_logo_animation.gif
Moscow Technical University of Communication and Informatics,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/03/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.svg
National University “Yaroslav the Wise Law Academy of Ukraine”,logos/001643_National University _Yaroslav the Wise Law Academy of Ukraine__National%20University%20Yaroslav%20the%20Wise%20Law%20Academy%20of%20Ukraine%20logo.png,ok
Moscow University for Industry and Finance,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/5/54/Sng_logo.png
National University “Odesa Law Academy”,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/f/f4/%D0%93%D0%B5%D1%80%D0%B1_%D0%9D%D0%A3%D0%9E%D0%AE%D0%90.jpg
Armenian National Agrarian University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/ANAU_logo.png
National University of Life and Environmental Sciences of Ukraine,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/New_NUBIP_gerb.png
National University of Water and Environmental Engineering,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/LogoNUWM.png
National Pedagogical Dragomanov University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/2c/National_Pedagogical_Dragomanov_University.jpg
National University of Food Technologies,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/4/44/NUFT_coa.png
National University «Odesa Maritime Academy»,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/3f/NU_OMA_emblem.svg
National University of Food Technologies,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/NUFT_flag.png
Odesa National Medical University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Odessa%20national%20medical%20university%20logo.svg
V.О. Sukhomlynskyi National University of Mykolaiv,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/1/15/Logomnu.jpg
University of Toulouse (2025),,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logotype%20Universit%C3%A9%20de%20Toulouse%202025.svg
State University of New York at Purchase,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Purchase_college_purplelogo.png
Siam University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/5/5b/Siam_University_logo.png
University of Waterloo,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/af/Uwaterloo_wordmark.gif
Cardiff University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Cardiff_University_(logo).svg
University of Prince Edward Island,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/UPEI_logo.png
"University of California, Riverside",,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20California%2C%20Riverside%20logo.svg
Laval University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/90/Universit%C3%A9_laval.jpg
University of New Brunswick,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/8/82/New_brunswick_univ_logo.svg
University of Lisbon,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/ULisboa_logo.svg
Bar-Ilan University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Bar%20Ilan%20logo.png
Indiana University Bloomington,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/7/7e/Indiana_University_logotype.svg
North Carolina State University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/NC_State_University_brick_logo.svg
Iowa State University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/1/15/Iowa_State_University_wordmark.svg
Universitas Gadjah Mada,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/f/f6/Logo_FEB_UGM.png
Colorado State University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/95/Colorado_State_University_logo.svg
Western University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/1/14/Western_ontario_univ_textlogo.svg
"University of Nevada, Reno",,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Nevada%2C%20Reno%20logo.svg
University of Sussex,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/34/University_of_Sussex_Logo.svg
Paris Descartes University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/c/c8/Logo_IUT_Paris.jpg
University of New Mexico,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/9d/University_of_New_Mexico_logo.svg
University of Texas at Arlington,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/2b/University_of_Texas_at_Arlington_logo.svg
University of Louisville,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/df/University_of_Louisville_Logo.png
University of South Dakota,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/98/University_of_South_Dakota_logo.svg
East Carolina University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/East_carolina_univ_simplelogo.png
University of Akron,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University_of_Akron_logo.svg
Queen's University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/QueensU_Wordmark.svg
University of Porto,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logoup.jpg
University of Exeter,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/3d/Exepos%C3%A9_Logo_2012_-_present_%28cropped%29.jpg
University of Alabama at Birmingham,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/UABirmingham%20logo.png
Kent State University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Kent%20State%20University%20Logo.svg
Georgia State University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Georgia%20State%20University%20Logo.svg
Idaho State University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Idaho%20State%20University%20logo.svg
Texas Tech University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/1/10/Texas_Tech_University_logo.svg
London Metropolitan University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/London%20Metropolitan%20University%20Logo.jpg
Wright State University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Wright%20State%20University%20green%20two-line%20wordmark.svg
Belgorod State University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/GerbBigB.GIF
University of Memphis,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Memphis%20wordmark.svg
University of North Carolina at Charlotte,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/5/57/UNC_Charlotte_Main_Horizontal.png
University of Toledo,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/UT%20Hortz.svg
Aix-Marseille University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Aix%20Marseille%20Universit%C3%A9%20logo%202024.png
Virginia Commonwealth University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/VCU%20typeface.svg
Al Akhawayn University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Al%20Akhawayn%20University%20Logo.png
"University of Nevada, Las Vegas",,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/9f/University_of_Nevada%2C_Las_Vegas_logo.svg
New Jersey Institute of Technology,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/New%20Jersey%20IT%20logo.svg
University of Regina,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/a1/UofRegina_Logo.svg
Universidade Federal de São Carlos,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logomarca%20UFSCAR.png
Amirkabir University of Technology,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/AKUT.svg
MacEwan University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/MacEwanU-Logo.svg
South Dakota School of Mines and Technology,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Southdakota%20mines%20logo.png
University of Lille,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/98/Logotype_Universit%C3%A9_de_Lille_2022.svg
Hamadan University of Technology,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Hamedan%20University%20of%20Technology.svg
Mount Royal University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Mount_royal_univ_ca_logo.png
Universidad Tecmilenio,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Universidad%20Tecmilenio.png
Technological University Dublin,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/TU%20Dublin%20Logo.svg
Universidade da Integração Internacional da Lusofonia Afro-Brasileira,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/07/S%C3%ADmbolo_da_UNILAB.png
"University of Engineering & Management, Jaipur",,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/UEM%20Logo.jpg
Sister Nivedita University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Sister%20Nivedita%20University%20logo%20wordmark.jpg
University of Piura,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo_-_Universidad_de_Piura.png
Peruvian University of Applied Sciences,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/UPC%20logo%20transparente.png
Benemérita Escuela Nacional de Maestros,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/a6/Benem%C3%A9rita_Escuela_Nacional_de_Maestros.svg
Dallas Baptist University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Dallas_baptist_univ_simple_logo.png
Southern Wesleyan University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/South%20wesleyan%20univ%20logo.png
Davenport University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Davenport%20university%20logo.png
DeSales University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Desales%20univ%20textlogo.png
D'Youville University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/f/ff/Dyouville_university_logo.png
Dickinson State University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo-Vertical-FULL-COLOR.png
Divine Word College of San Jose,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Divine%20Word%20College%20of%20San%20Jose%20logo.png
Adani University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Adani%20University%20logo%202024.png
Defense Acquisition University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/b/b4/DAU_Seal.png
Dominican University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Dominican_univ_il_textlogo.png
"Don Bosco Technical Institute, Tarlac",,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Don-bosco-logohigh-res.png
Drury University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Drury%20University%20logo.svg
